category,price,rating,stock,title,upc
Biography,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Spirituality,[17.66],[5.0],[18],The Four Agreements: A Practical Guide to Personal Freedom,6258a1f6a6dcfe50
Biography,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Spirituality,[20.91],[1.0],[9],If I Gave You God's Phone Number....: Searching for Spirituality in America,8fab4c4f6f82a4ce
Spirituality,[55.65],[5.0],[4],A New Earth: Awakening to Your Life's Purpose,f6ae39568db1130e
Spirituality,[37.8],[2.0],[15],Chasing Heaven: What Dying Taught Me About Living,513271dadc1322ae
Spirituality,[32.24],[5.0],[16],The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,7d6d2a6c0276f81b
Spirituality,[46.33],[2.0],[7],Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,48cb52d78c992487
Romance,http://books.toscrape.com/media/cache/bb/8b/bb8b7e644c005aba53d55240b54952ae.jpg,[48.71],[1.0],[1],This One Moment (Pushing Limits #1),d6d98d3508c30f57
Romance,http://books.toscrape.com/media/cache/a3/50/a35037c93fbc48a1a62dc74c71f62779.jpg,[39.77],[3.0],[1],Where Lightning Strikes (Bleeding Stars #3),def389ddfda6991b
Romance,http://books.toscrape.com/media/cache/c1/0a/c10a83087db24c35f88555f2b8511e9e.jpg,[27.41],[2.0],[3],Best of My Love (Fool's Gold #20),67dea6c75d6a1075
Romance,http://books.toscrape.com/media/cache/7a/13/7a13d10c37d4b975145bfa493f69fbf0.jpg,[11.1],[3.0],[3],Reservations for Two,ecdf73ee66c33b17
Romance,http://books.toscrape.com/media/cache/a6/38/a63804d7adf6fb90b70b226702cb4f7b.jpg,[45.43],[1.0],[3],The Obsession,ee441c8e027caa66
Romance,http://books.toscrape.com/media/cache/c2/9d/c29dbb9c163edb0e885f897063d619f3.jpg,[12.25],[1.0],[3],The Purest Hook (Second Circle Tattoos #3),969f6c7e86554814
Romance,http://books.toscrape.com/media/cache/ba/a6/baa64eeda5e10952da4610f8efc1be76.jpg,[39.24],[3.0],[1],Fighting Fate (Fighting #6),6390772a3094939d
Romance,http://books.toscrape.com/media/cache/f1/49/f1498baf6cb055e0a9188d5e57c5f686.jpg,[34.74],[4.0],[1],Imperfect Harmony,f28f7299d38c0932
Romance,http://books.toscrape.com/media/cache/2e/fa/2efa13faabc899f61c2a181ab0de7ef8.jpg,[38.92],[2.0],[1],My Perfect Mistake (Over the Top #1),fd78f89878479f56
Romance,http://books.toscrape.com/media/cache/1e/c9/1ec952e4d14d37dc7b6d74fa07f1ea37.jpg,[28.34],[2.0],[1],"Rhythm, Chord & Malykhin",9efb397067eb7e8a
Romance,http://books.toscrape.com/media/cache/7d/18/7d18f04705f25aa7659b2aa6153c1a4f.jpg,[37.26],[4.0],[1],Bounty (Colorado Mountain #7),abc0b15f2c907ff0
Romance,http://books.toscrape.com/media/cache/b6/42/b642b7415804929612c29d87656edea1.jpg,[41.24],[1.0],[1],Charity's Cross (Charles Towne Belles #4),a96404cb928895f3
Romance,http://books.toscrape.com/media/cache/b6/bd/b6bd7cd6500f96e717c147deb8d89af2.jpg,[47.09],[5.0],[1],Deep Under (Walker Security #1),0072b94dfa30608e
Romance,http://books.toscrape.com/media/cache/98/85/9885b87053dcd05803ef58e9817e935a.jpg,[58.99],[3.0],[1],Listen to Me (Fusion #1),6e712ea24e77bd96
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Science Fiction,http://books.toscrape.com/media/cache/da/a0/daa08c54a927c27494ea5bb90af79c60.jpg,[32.42],[1.0],[5],Foundation (Foundation (Publication Order) #1),3fc124f59f3068e4
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Science Fiction,http://books.toscrape.com/media/cache/df/64/df642e483f7ae23de6888c73f05e2014.jpg,[35.67],[5.0],[16],Join,18ad3ed896c7ce05
Science Fiction,http://books.toscrape.com/media/cache/61/ca/61ca5ab6bc514b9527af9f805fa03c31.jpg,[26.12],[2.0],[15],Soft Apocalypse,2a70769cdc6eb8b8
Science Fiction,http://books.toscrape.com/media/cache/4c/57/4c57c192057269132623f9c6b3f69559.jpg,[10.65],[1.0],[15],The Project,790ef197c8f236f5
Science Fiction,http://books.toscrape.com/media/cache/02/7a/027a1f131d94c38f9e785f5d85a109c7.jpg,[43.3],[4.0],[15],"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",9270575728a13a61
Science Fiction,http://books.toscrape.com/media/cache/48/e6/48e697e9c8bba8ca04a3064551cda630.jpg,[44.18],[2.0],[1],Three Wishes (River of Time: California #1),460f97a346b44bac
Science Fiction,http://books.toscrape.com/media/cache/e8/1f/e81f850db9b9622c65619c9f15748de7.jpg,[37.59],[1.0],[19],Mesaerion: The Best Science Fiction Stories 1800-1849,e30f54cea9b38190
Science Fiction,http://books.toscrape.com/media/cache/c7/a3/c7a3d04df9cbc857b149cd76d32e3030.jpg,[51.48],[1.0],[3],Do Androids Dream of Electric Sheep? (Blade Runner #1),98330e431e56a9ea
Science Fiction,http://books.toscrape.com/media/cache/01/c5/01c50c5f341b8f1d030e9dffba5e5498.jpg,[21.36],[4.0],[11],Arena,2c34f9432069b52b
Science Fiction,http://books.toscrape.com/media/cache/ac/a5/aca5de2e61ca2754de496a75dea25f91.jpg,[48.74],[1.0],[11],Sleeping Giants (Themis Files #1),f435aa99d864077d
Science Fiction,http://books.toscrape.com/media/cache/2a/88/2a88181c495875c02f87c2e6010b046d.jpg,[36.26],[2.0],[1],The Last Girl (The Dominion Trilogy #1),16c71736dae78764
Science Fiction,http://books.toscrape.com/media/cache/b9/af/b9afd75c09ff7bf82c9a158a34cb993d.jpg,[19.07],[4.0],[3],Ready Player One,2ef5dc7e278e562a
Science Fiction,http://books.toscrape.com/media/cache/63/a9/63a9a4e0c8e3c6ee2075a766b873cd31.jpg,[54.86],[1.0],[3],Dune (Dune #1),36d5884d44484277
Science Fiction,http://books.toscrape.com/media/cache/54/ca/54cac05a3026d35e713133a1fe49f6c8.jpg,[33.26],[2.0],[3],"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",4b3f4f151c99f472
Science Fiction,http://books.toscrape.com/media/cache/aa/8f/aa8fc991d84aca12ed94a0a2fa1099e5.jpg,[10.92],[1.0],[3],The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),0e92ccf1bd39e68f
Science Fiction,http://books.toscrape.com/media/cache/13/8a/138a09170e0431cce98921b857a6eeb5.jpg,[34.96],[4.0],[1],Having the Barbarian's Baby (Ice Planet Barbarians #7.5),6717a70913b3db79
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Adult Fiction,http://books.toscrape.com/media/cache/f4/07/f407d3bbf457d35701dfe72ee9ef3b68.jpg,[15.36],[5.0],[3],Fifty Shades Freed (Fifty Shades #3),ed813a848580ba50
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Womens Fiction,http://books.toscrape.com/media/cache/2f/71/2f710e4c53d98e47b73e4d34702a6751.jpg,[13.73],[5.0],[4],Some Women,31f5bbf4974d29c9
Womens Fiction,http://books.toscrape.com/media/cache/e3/33/e33394096291284ed1f80c5b13c4e1f3.jpg,[43.58],[3.0],[7],Meternity,725cd8d23d78cdca
Womens Fiction,http://books.toscrape.com/media/cache/c8/06/c806501c08d2b2cd72f2362a3da6ab80.jpg,[48.49],[4.0],[11],Grey (Fifty Shades #4),b5953ca1f8a0b8d7
Womens Fiction,http://books.toscrape.com/media/cache/9c/84/9c845ad6a9d4ecf44d53ac0e3b8f54ae.jpg,[20.46],[4.0],[11],Keep Me Posted,20dc4f1ac5d4fd9c
Womens Fiction,http://books.toscrape.com/media/cache/60/e9/60e9df360fec611b15a1bbb4c28aad22.jpg,[57.36],[4.0],[15],I Had a Nice Time And Other Lies...: How to find love & sh*t like that,fd8585283fc7d2d7
Womens Fiction,http://books.toscrape.com/media/cache/e3/e9/e3e95f631eb64252324768ce795b50d7.jpg,[45.75],[4.0],[3],The Undomestic Goddess,813cff2aefa5d1f0
Womens Fiction,http://books.toscrape.com/media/cache/49/ec/49ec020f1dfa44313313495b809f74f1.jpg,[42.8],[2.0],[3],Twenties Girl,8ebad30219b8679c
Womens Fiction,http://books.toscrape.com/media/cache/e1/24/e124fe015a3ffa6857eb35c39e89cd61.jpg,[21.94],[1.0],[4],Can You Keep a Secret?,0812f54c93d726ce
Womens Fiction,http://books.toscrape.com/media/cache/d0/f8/d0f8f438caa5e7adc1c727da4f06ca64.jpg,[48.39],[5.0],[4],Shopaholic Ties the Knot (Shopaholic #3),38199c5d7da0c0ef
Womens Fiction,http://books.toscrape.com/media/cache/b9/ef/b9efe934eaeb1f51ad31a971188d7bc3.jpg,[13.86],[3.0],[12],Will You Won't You Want Me?,077b635ff2afc578
Womens Fiction,http://books.toscrape.com/media/cache/29/26/2926c885f673e84d7fc46240b1f77eb2.jpg,[54.62],[1.0],[3],Something Blue (Darcy & Rachel #2),3fc9d51d1c4d6ba7
Womens Fiction,http://books.toscrape.com/media/cache/e3/4e/e34e69942bf1327c602ef9754d02a022.jpg,[52.53],[5.0],[3],The Nanny Diaries (Nanny #1),6263c1d2997b8ce0
Womens Fiction,http://books.toscrape.com/media/cache/67/2f/672f2e3753cfc59c5843d23c88784326.jpg,[29.82],[1.0],[1],Bridget Jones's Diary (Bridget Jones #1),a2b4b685dfa94733
Womens Fiction,http://books.toscrape.com/media/cache/a1/4f/a14f3bc2743e3956cb10fddaaf62a1f9.jpg,[19.18],[4.0],[1],The Edge of Reason (Bridget Jones #2),29fc016c459aeb14
Womens Fiction,http://books.toscrape.com/media/cache/3d/40/3d407a69fe55223fb4cfec577a9a8ee2.jpg,[19.69],[1.0],[3],I've Got Your Number,6b32b561dab8036c
Womens Fiction,http://books.toscrape.com/media/cache/21/ac/21acb843702d1448519cc8bf0d5da728.jpg,[44.29],[1.0],[3],The Devil Wears Prada (The Devil Wears Prada #1),a6ab0cb7106a67f2
Womens Fiction,http://books.toscrape.com/media/cache/82/ed/82ed95c8c6c3ee6171fe3b55d766a9ec.jpg,[48.96],[5.0],[3],Something Borrowed (Darcy & Rachel #1),ac27ab4bcd9c492e
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Philosophy,http://books.toscrape.com/media/cache/c8/1a/c81aea97de1daaa0081d96f8564c204c.jpg,[17.44],[4.0],[15],The Stranger,f5a92cff83897d48
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Philosophy,http://books.toscrape.com/media/cache/8c/bf/8cbf4667b5798cb8195f1e126ddd6a5c.jpg,[20.02],[1.0],[2],"Run, Spot, Run: The Ethics of Keeping Pets",b0e479be03911916
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Philosophy,http://books.toscrape.com/media/cache/3b/28/3b28ec3663a81d36272a08e5a49644f2.jpg,[20.75],[1.0],[5],Critique of Pure Reason,429b4a811bef386c
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Philosophy,http://books.toscrape.com/media/cache/16/f4/16f4518319f7dcadc23d020279f78545.jpg,[36.34],[1.0],[1],The Nicomachean Ethics,5c10b64db3e4f228
Philosophy,http://books.toscrape.com/media/cache/3f/f6/3ff6fe5d0c5ca7ab2ed8b5971e299caa.jpg,[58.11],[4.0],[16],The Death of Humanity: and the Case for Life,bd261725b99f5983
Philosophy,http://books.toscrape.com/media/cache/d7/39/d73914232130fdf90d66f02fd9798f2b.jpg,[15.94],[5.0],[18],Sophie's World,6be3beb0793a53e7
Philosophy,http://books.toscrape.com/media/cache/ce/da/ceda6d577d0609261f997bd99872013b.jpg,[29.93],[5.0],[7],"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",6b52904b2ab91bf6
Philosophy,http://books.toscrape.com/media/cache/bf/90/bf90ad2c3cab628096db8fca010797b4.jpg,[47.13],[1.0],[8],Kierkegaard: A Christian Missionary to Christians,0cf57cb49272fd37
Philosophy,http://books.toscrape.com/media/cache/d1/7f/d17f326e3fcaf84c37d6d51e3470bcc6.jpg,[43.38],[1.0],[1],Beyond Good and Evil,08672cd59171d5e4
Philosophy,http://books.toscrape.com/media/cache/f6/cb/f6cb2300a1235a344f1c11b2be9a605d.jpg,[54.21],[1.0],[8],Proofs of God: Classical Arguments from Tertullian to Barth,d56d0710668bb39c
Philosophy,http://books.toscrape.com/media/cache/90/f7/90f79652caecac36bc97bf7b769c8fc4.jpg,[25.89],[2.0],[1],Meditations,4f19709e47883df5
category,image_url,price,rating,stock,title,upc
Biography,http://books.toscrape.com/media/cache/ec/2a/ec2a7df6fdafc7e6f97b6c6da7980584.jpg,[16.85],[2.0],[15],Louisa: The Extraordinary Life of Mrs. Adams,d69dd8dac66f9f84
Biography,http://books.toscrape.com/media/cache/86/54/86546f67cb4a3112b15b03a4ec2e7255.jpg,[21.15],[2.0],[11],"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",b06599b108e83f98
Fiction,http://books.toscrape.com/media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,[50.1],[1.0],[20],Soumission,6957f44c3847a760
Biography,http://books.toscrape.com/media/cache/d7/cb/d7cbdb36b54398ba3876488726befc3d.jpg,[39.55],[1.0],[7],The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,57f85720e54d6442
Biography,http://books.toscrape.com/media/cache/4c/09/4c090b85892f532210e44d84b752b64d.jpg,[42.57],[3.0],[3],The Rise of Theodore Roosevelt (Theodore Roosevelt #1),1a5044d233936b1a
Biography,http://books.toscrape.com/media/cache/c2/7e/c27efce6a2321c10b0d34035308ace37.jpg,[48.19],[3.0],[7],Benjamin Franklin: An American Life,5b546a46a86a9d8c
Fiction,http://books.toscrape.com/media/cache/34/c9/34c988a76c3cd7c04566d3030d8e7331.jpg,[42.15],[4.0],[15],The Vacationers,fd3a622648667296
Fiction,http://books.toscrape.com/media/cache/87/a2/87a2fddd7f6b240c0351e1eb950b6716.jpg,[50.27],[5.0],[16],"We Love You, Charlie Freeman",8d455c7539795d2a
Fiction,http://books.toscrape.com/media/cache/05/87/0587ab519222a61f803fa4570c325ad2.jpg,[47.61],[5.0],[17],Private Paris (Private #10),b12b89017878a60d
Fiction,http://books.toscrape.com/media/cache/81/3e/813e1d11126330de52d9368e78d116cc.jpg,[25.85],[3.0],[14],The First Hostage (J.B. Collins #2),a86972014275e072
Fiction,http://books.toscrape.com/media/cache/06/a6/06a62270c0700ae3c537cf394cf145ee.jpg,[52.67],[4.0],[14],The Testament of Mary,081305e6df719dff
Fiction,http://books.toscrape.com/media/cache/bd/ad/bdad8933d15df7d7c6f3a16a9315048b.jpg,[45.21],[3.0],[14],Take Me with You,2c04320e110a14a3
Fiction,http://books.toscrape.com/media/cache/8c/54/8c54a50576c204b80165a13545f73028.jpg,[17.27],[5.0],[16],Thirst,709822d0b5bcb7f4
Fiction,http://books.toscrape.com/media/cache/29/e0/29e036acd8a6e3daa787ce2bc05bdbbb.jpg,[54.11],[3.0],[16],The Murder That Never Was (Forensic Instincts #5),d01ac97e2b8947c2
Fiction,http://books.toscrape.com/media/cache/2d/a3/2da3464fa2010bebedfba9eca77e42be.jpg,[24.48],[3.0],[14],My Mrs. Brown,cc82685d9f49bc2c
Fiction,http://books.toscrape.com/media/cache/d4/73/d473f01f077b91ce04e345305a3fa217.jpg,[51.36],[5.0],[15],The Regional Office Is Under Attack!,0651062381f0636a
Fiction,http://books.toscrape.com/media/cache/8d/a3/8da36f821f35b795a3a420c84ca9737e.jpg,[10.6],[4.0],[14],I Am Pilgrim (Pilgrim #1),aeff7b87a8e83ebb
Fiction,http://books.toscrape.com/media/cache/37/d1/37d108ff5b19028a52ddd73dba35d543.jpg,[27.88],[5.0],[14],The Time Keeper,e9906e2f0d189745
Fiction,http://books.toscrape.com/media/cache/0a/9a/0a9a0b211bee87b544bd97a8320a0b73.jpg,[27.09],[3.0],[14],Eligible (The Austen Project #4),9eaf58b03a2779cc
Fiction,http://books.toscrape.com/media/cache/65/7f/657f9a3b7c0579c7fa499dddddd59422.jpg,[28.9],[1.0],[14],Mr. Mercedes (Bill Hodges Trilogy #1),caa2e5b3fb1b2d4c
Fiction,http://books.toscrape.com/media/cache/76/80/76804e1881b630a110794fef5aad02cf.jpg,[53.53],[5.0],[15],Finders Keepers (Bill Hodges Trilogy #2),edb3097e71330040
Fiction,http://books.toscrape.com/media/cache/28/db/28db43984c765a1d02fd3495f5c52eb6.jpg,[41.56],[1.0],[14],My Name Is Lucy Barton,727bf2b86b19ad88
Fiction,http://books.toscrape.com/media/cache/63/62/63623a0b014b1f26e49aa61786e6e708.jpg,[55.84],[4.0],[14],Shtum,830fb3967c74866d
Fiction,http://books.toscrape.com/media/cache/a3/eb/a3ebe1ca5df0d3ff3e3d2b8fb8b2a551.jpg,[26.41],[3.0],[14],Still Life with Bread Crumbs,fe44cc816576c652
Fiction,http://books.toscrape.com/media/cache/a3/ad/a3ade5edecde67449329c1ebb016c049.jpg,[21.04],[2.0],[15],Tuesday Nights in 1980,b8736690cf263a3c
Fiction,http://books.toscrape.com/media/cache/a0/f6/a0f6ff77c5f4604f88b1c74bbf669995.jpg,[25.01],[3.0],[14],Cometh the Hour (The Clifton Chronicles #6),28cf0d1c51b491e5
Fiction,http://books.toscrape.com/media/cache/e1/8d/e18dc724d16d7501dcaaa56bdb49c16d.jpg,[11.21],[5.0],[14],Dear Mr. Knightley,94a958ea126cdcd5
Fiction,http://books.toscrape.com/media/cache/5b/34/5b34d6d54467af2d5e44a5f91031adf2.jpg,[14.39],[4.0],[14],Eight Hundred Grapes,1d6dd0c87d90fe92
Fiction,http://books.toscrape.com/media/cache/f3/fc/f3fc38185b3b6ede38fd9dea2590c01f.jpg,[17.03],[3.0],[14],Balloon Animals,9b65f676984c9f0c
Fiction,http://books.toscrape.com/media/cache/e9/e2/e9e22f047d6733f6c9dbbb8bf5342b09.jpg,[39.72],[1.0],[14],A Man Called Ove,8682c03de6a844ff
Fiction,http://books.toscrape.com/media/cache/8f/26/8f269de5ec7cef02e538eb0466c68f0c.jpg,[45.14],[1.0],[11],Lies and Other Acts of Love,469508882dfc1991
Fiction,http://books.toscrape.com/media/cache/7c/c3/7cc38fa8812d931bf38b10b7d91b4266.jpg,[59.45],[1.0],[11],The Improbability of Love,437d8dea9272d0a9
Fiction,http://books.toscrape.com/media/cache/79/47/79478ba5ab673fbdfe79a745a14fb9de.jpg,[16.34],[3.0],[11],Daredevils,f608c903c451f387
Fiction,http://books.toscrape.com/media/cache/a5/ad/a5ad88ff798c629eb24b19188c1ea902.jpg,[56.54],[2.0],[12],The Dinner Party,c6ca293d4810e0d5
Fiction,http://books.toscrape.com/media/cache/9b/1a/9b1a03d05c16c71050daefad8840ec91.jpg,[13.34],[2.0],[11],Mothering Sunday,47e1b2d43f709995
Fiction,http://books.toscrape.com/media/cache/98/df/98df70802a22c17dac6026645da4ab87.jpg,[46.29],[5.0],[12],The Silent Sister (Riley MacPherson #1),ce1ae197ada2aec4
Fiction,http://books.toscrape.com/media/cache/fe/a4/fea443d174c2c9f0c7903f6c6a3ecc62.jpg,[42.78],[4.0],[7],The Bourne Identity (Jason Bourne #1),d250657f0ebc5d73
Fiction,http://books.toscrape.com/media/cache/5e/4b/5e4b5ef50c54f173456606e70719cc84.jpg,[49.67],[3.0],[7],Memoirs of a Geisha,dac4b5847454fd9b
Fiction,http://books.toscrape.com/media/cache/f3/28/f3285723c344576168d60806d266979a.jpg,[51.15],[1.0],[8],The High Mountains of Portugal,4f283dfcbeccc0d4
Fiction,http://books.toscrape.com/media/cache/23/2f/232fdac6b00cd3c7cd2b2336ff3b730e.jpg,[21.96],[4.0],[8],Hystopia: A Novel,0bfdef63285d3019
Fiction,http://books.toscrape.com/media/cache/4c/ae/4cae2beda2d1c5f851f8971f94fdbc91.jpg,[28.03],[1.0],[9],The Shack,903a9f8090104c2c
Fiction,http://books.toscrape.com/media/cache/a8/b9/a8b940d9bf27d6aedad73f0230c14f56.jpg,[58.54],[2.0],[8],Miller's Valley,bff270fe9c86a5a9
Fiction,http://books.toscrape.com/media/cache/4c/4c/4c4ce2398c6ad6c074e8061f739964cc.jpg,[48.48],[3.0],[11],11/22/63,a9d7b75461084a26
Fiction,http://books.toscrape.com/media/cache/81/c3/81c36cb2510dc47892dde52f3989a53f.jpg,[19.02],[1.0],[6],Me Before You (Me Before You #1),7a2b51f69e81c722
Fiction,http://books.toscrape.com/media/cache/2a/0a/2a0a1543dd5f3edc407ab9989f29e992.jpg,[40.2],[4.0],[7],Sister Dear,7ffebdd1d5148aef
Fiction,http://books.toscrape.com/media/cache/9d/3c/9d3c5430a627260e4a8c9ca02c8a8924.jpg,[26.58],[5.0],[4],Atlas Shrugged,78a4ac98191ac675
Fiction,http://books.toscrape.com/media/cache/86/78/86786e20ec80b5b3ec66657870750b73.jpg,[58.0],[5.0],[5],Digital Fortress,94bb629a3f6dd00b
Fiction,http://books.toscrape.com/media/cache/0b/98/0b98d840b298be76c1a982a8d1f4688f.jpg,[59.98],[3.0],[5],Last One Home (New Beginnings #1),07e6810fd3236bda
Fiction,http://books.toscrape.com/media/cache/6b/5f/6b5fba0f415741ab61c0cf24d11933ab.jpg,[34.22],[5.0],[5],Siddhartha,84bb29c53592ac40
Fiction,http://books.toscrape.com/media/cache/4a/96/4a96cd8c43ea6c74d5b8d9ce1d47c187.jpg,[44.58],[2.0],[5],The Expatriates,fe7210553d56c097
Fiction,http://books.toscrape.com/media/cache/30/64/3064d8c687f770efea3fabeac0cd2d6f.jpg,[45.56],[3.0],[5],The Firm,ad84f18659e6bfe2
Fiction,http://books.toscrape.com/media/cache/ed/25/ed2540d08b66683313ffee9241bfd926.jpg,[24.73],[3.0],[5],The Little Paris Bookshop,dfd9ff1f343cdaff
Fiction,http://books.toscrape.com/media/cache/65/6d/656d264685962b55ff14fb310b0ae747.jpg,[40.32],[4.0],[6],Deception Point,4e3b183180e2a992
Fiction,http://books.toscrape.com/media/cache/9b/37/9b37bcfb1a44dabbef36f5bf899df4b0.jpg,[12.47],[3.0],[3],Lila (Gilead #3),4ef75307fb64e2ad
Fiction,http://books.toscrape.com/media/cache/c8/9e/c89ec72cf70f8d37e049223b90708a5a.jpg,[27.41],[1.0],[3],The Infinities,554e9e2d532b3a87
Fiction,http://books.toscrape.com/media/cache/8a/fe/8afee4ecfc952010bcb70f72e4728d16.jpg,[22.1],[1.0],[3],The Art of Fielding,2858ac90c4758e1f
Fiction,http://books.toscrape.com/media/cache/c6/ac/c6ac29eaf9e7de9de175d014d2132428.jpg,[26.26],[4.0],[3],The Nightingale,29d6d87f3418638b
Fiction,http://books.toscrape.com/media/cache/95/27/9527e680e56bb3f8d9bf4e8882a3b723.jpg,[52.51],[5.0],[3],The Husband's Secret,ff6bb30dd0c482a6
Fiction,http://books.toscrape.com/media/cache/90/81/90810ccd85e7f49b9040246800a19b44.jpg,[22.96],[2.0],[3],The Da Vinci Code (Robert Langdon #2),dabf11918b48b40c
Fiction,http://books.toscrape.com/media/cache/fc/c2/fcc2f183dde593b991e01585f5df1e09.jpg,[23.21],[3.0],[3],Three-Martini Lunch,57f755143ee96fd4
Fiction,http://books.toscrape.com/media/cache/c9/b9/c9b9ce0ea36cc737d1693ac89c5d0361.jpg,[16.78],[3.0],[2],The Course of Love,f3c76b53b239f511
